iter	Passed	Remaining
0	2	203
1	3	160
2	5	163
3	5	143
4	7	143
5	8	138
6	11	146
7	13	157
8	16	164
9	18	168
10	20	166
11	22	166
12	25	169
13	28	175
14	30	172
15	31	167
16	33	165
17	36	166
18	38	164
19	40	161
20	42	161
21	45	160
22	47	158
23	49	157
24	51	155
25	53	152
26	55	150
27	57	148
28	59	146
29	62	144
30	63	141
31	65	140
32	68	138
33	70	136
34	73	135
35	75	133
36	77	131
37	79	129
38	81	126
39	82	124
40	84	121
41	85	118
42	88	117
43	90	115
44	92	113
45	95	111
46	97	110
47	101	109
48	104	108
49	106	106
50	108	104
51	110	102
52	113	100
53	115	98
54	118	96
55	121	95
56	123	93
57	126	91
58	128	89
59	131	87
60	135	86
61	137	84
62	140	82
63	143	80
64	146	78
65	149	77
66	152	75
67	155	73
68	158	71
69	160	68
70	163	66
71	164	64
72	167	61
73	169	59
74	171	57
75	173	54
76	175	52
77	177	50
78	179	47
79	181	45
80	184	43
81	186	40
82	187	38
83	190	36
84	192	34
85	195	31
86	196	29
87	198	27
88	200	24
89	201	22
90	203	20
91	205	17
92	207	15
93	208	13
94	209	11
95	211	8
96	213	6
97	214	4
98	216	2
99	217	0
